## Vivek Arte | joined ZCAP: September 2023
  - Assistance for Legal Compliance Activities (2024) | approved $102,546 | paid $102,546 | first payment Jul 2024
  - User-Control for ZSAs | approved $650,000 | paid $650,000 | first payment Jul 2024
  - ZSAs in NU7/ Zebra ZSA Integration | approved $840,000 | paid $840,000 | first payment Jan 2025
  - ZSAs in NU7, H2 2025 extension | approved $612,119 | paid $612,119 | first payment Aug 2025
  - Assistance for Legal Compliance Activities (2025) | approved $59,130 | paid $59,130 | first payment Oct 2025
  - OrchardZSA finalization | approved $276,558 | paid $276,558 | first payment Feb 2026
  - Feature Branch Testnet and Compatible Developer Tooling | approved $455,000 | paid $227,500 | first payment Jun 2026
## Jonathan Rouach | joined ZCAP: December 2023
  - ZSAs in NU7/ Zebra ZSA Integration | approved $840,000 | paid $840,000 | first payment Jan 2025
  - ZSAs in NU7, H2 2025 extension | approved $612,119 | paid $612,119 | first payment Aug 2025
  - Assistance for Legal Compliance Activities (2025) | approved $59,130 | paid $59,130 | first payment Oct 2025
  - OrchardZSA finalization | approved $276,558 | paid $276,558 | first payment Feb 2026
  - Feature Branch Testnet and Compatible Developer Tooling | approved $455,000 | paid $227,500 | first payment Jun 2026
## Constance Beguier | joined ZCAP: September 2023
  - ZSAs in NU7/ Zebra ZSA Integration | approved $840,000 | paid $840,000 | first payment Jan 2025
  - ZSAs in NU7, H2 2025 extension | approved $612,119 | paid $612,119 | first payment Aug 2025
  - OrchardZSA finalization | approved $276,558 | paid $276,558 | first payment Feb 2026
  - Feature Branch Testnet and Compatible Developer Tooling | approved $455,000 | paid $227,500 | first payment Jun 2026
## Hanh (on the forum) | joined ZCAP: December 2021
  - Payment Gateway with BTCPay | approved $120,000 | paid $120,000 | first payment Jan 2022
  - YWallet | approved $350,000 | paid $350,000 | first payment Sep 2022
  - Orchard and UA for YWallet | approved $114,400 | paid $114,400 | first payment Feb 2023
  - Shielded Support for Ledger Hardware Wallets (NanoS+, NanoX) | approved $300,100 | paid $300,100 | first payment Jun 2023
  - YWallet Maintenance and Minor Improvements | approved $150,000 | paid $150,000 | first payment Sep 2023
  - Transparent & Shielded DEX with Maya Protocol | approved $80,000 | paid $80,000 | first payment May 2024
  - Coin Voting 2.0 | approved $200,000 | paid $200,000 | first payment May 2025
  - Zcash Infra - 1 year | approved $6,000 | paid $6,000 | first payment Feb 2025
  - BTCPayServer - Orchard and UA | approved $15,000 | paid $15,000 | first payment Nov 2025
  - Maintenance and Improvements to Coin Voting | approved $314,000 | paid $210,000 | first payment Dec 2025
  - zaino - Stability, Performance & Testing | approved $50,000 | paid $50,000 | first payment Aug 2026
## zancas (on the forum) | joined ZCAP: May 2021
  - Implement Orchard Funded Amendment | approved $128,520 | paid $128,520 | first payment Nov 2022
  - Authentic Financial Insight | approved $375,000 | paid $375,000 | first payment Mar 2023
  - Build Zaino To Deprecate Zcashd and Decentralize Zcash | approved $283,800 | paid $283,800 | first payment Oct 2024
  - Zaino Completion | approved $151,240 | paid $94,040 | first payment May 2025
  - Support In Person Collaboration at Z|ECC Summit in Prague | approved $3,726 | paid $3,726 | first payment Jun 2025
  - Zaino Respecification, No Delay | approved $54,560 | paid $54,560 | first payment Aug 2025
  - Zaino, The Zallet Release | approved $69,811 | paid $69,811 | first payment Sep 2025
  - Zingo Labs Hackfest | approved $25,500 | paid $25,500 | first payment Feb 2026
