Project,Grantee,"Category 
(as determined by ZCG)","Reporting Frequency 
(as determined by ZCG)",Milestone,Amount (USD),Estimate,Paid Out,ZEC Disbursed,USD Disbursed,ZEC/USD,Grant Status
Moeda.casa - Smart Brazilian Fiat-to-Crypto over Zcash,Moeda.casa,Integration,NA,1,"$6,950.00",, 26 Jan 2021,80.7764831,,$86.04,Completed
2 years of Lightwalletd Infra hosting & maintenance,NightHawk,Infrastructure,NA,1,"$10,440.00",, 10 Feb 2021,96.9180354,,$107.72,Completed
2 years of Lightwalletd Infra hosting & maintenance,NightHawk,Infrastructure,,2,"$10,440.00",, 2 Mar 2021,86.4239411,,$120.80,Completed
2 years of Lightwalletd Infra hosting & maintenance,NightHawk,Infrastructure,,3,"$13,920.00",, 21 Dec 2021,87.8401697,,$158.47,Completed
Zecwallet Infra costs,ZecWallet,Infrastructure,NA,1,"$9,750.00",, 16 Feb 2021,58.0461797,,$167.97,Completed
Zecwallet Infra costs,ZecWallet,Infrastructure,,2,"$9,750.00",, 24 Feb 2021,76.4946865,,$127.46,Completed
ZcashZeal,ZcashZeal,Community,NA,1,"$2,754.00",, 22 Feb 2021,15.3230845,,$179.73,Cancelled
ZcashZeal,ZcashZeal,Community,,2,$0.00,,,,,,Cancelled
ZcashZeal,ZcashZeal,Community,,3,$0.00,,,,,,Cancelled
ZcashZeal,ZcashZeal,Community,,4,$0.00,,,,,,Cancelled
Ziggurat: the Zcash Network Stability Framework,Equilibrium,Infrastructure,NA,1,"$17,360.00",, 4 Mar 2021,135.46635,,$128.15,Completed
Ziggurat: the Zcash Network Stability Framework,Equilibrium,Infrastructure,,2,"$40,920.00",, 7 Jun 2021,240.25375,,$170.32,Completed
Ziggurat: the Zcash Network Stability Framework,Equilibrium,Infrastructure,,3,"$40,920.00",, 27 Jul 2021,395.706511,,$103.41,Completed
Ziggurat: the Zcash Network Stability Framework,Equilibrium,Infrastructure,,4,"$24,800.00",, 8 Oct 2021,197.342446,,$125.67,Completed
Educational Video Series in Hindi for Indian Market,Hindi Videos,Education,NA,1,"$2,500.00",, 10 Mar 2021,18.2789623,,$136.77,Completed
Educational Video Series in Hindi for Indian Market,Hindi Videos,Education,,2,"$2,500.00",, 25 Jun 2021,23.6362917,,$105.77,Completed
1 year of ZECpages servers,ZecPages,Non-Wallet Applications,NA,1,"$3,300.00",, 11 Mar 2021,24.3777317,,$135.37,Completed
1 year of ZECpages servers,ZecPages,Non-Wallet Applications,,2,"$3,300.00",, 4 Oct 2021,28.3969677,,$116.21,Completed
Bootstrapping liquidity for renZEC on Binance Smart Chain,RenZec,Integration,NA,1,"$7,500.00",, 20 Apr 2021,29.3369942,,$255.65,Completed
Cold Wallet,Hanh,Wallets,NA,1,"$1,584.00",, 23 Mar 2021,11.2102911,,$141.30,Completed
Cold Wallet,Hanh,Wallets,,2,"$1,584.00",, 30 Mar 2021,10.5692599,,$149.87,Completed
Cold Wallet,Hanh,Wallets,,3,"$1,632.00",, 1 Apr 2021,10.244278,,$159.31,Completed
Zcash Block Explorer,NightHawk,Infrastructure,NA,1,"$51,000.00",, 30 Mar 2021,340.295122,,$149.87,Completed
ZECpages Testnet Faucet - App development + 1 year infra,ZecPages,Non-Wallet Applications,NA,1,"$3,627.00",, 12 Apr 2021,18.8103894,,$192.82,Completed
ZECpages Testnet Faucet - App development + 1 year infra,ZecPages,Non-Wallet Applications,,2,$558.00,, 23 Apr 2021,2.67828575,,$208.34,Completed
ZECpages Testnet Faucet - App development + 1 year infra,ZecPages,Non-Wallet Applications,,3,"$1,395.00",, 1 Nov 2021,8.34789487,,$167.11,Completed
Zecwallet Liteclient Research and Development,ZecWallet,Research & Development,NA,1,"$85,500.00",, 20 Apr 2021,344.441819,,$248.23,Completed
Zecwallet Liteclient Research and Development,ZecWallet,Research & Development,,2,"$85,500.00",, 18 Jun 2021,600.843489,,$142.30,Completed
Zecwallet Liteclient Research and Development,ZecWallet,Research & Development,,3,"$85,500.00",, 16 Aug 2021,552.397151,,$154.78,Completed
Zecwallet Liteclient Research and Development,ZecWallet,Research & Development,,4,"$85,500.00",, 18 Oct 2021,624.726197,,$136.86,Completed
Zeme Team,Zeme Team,Community,NA,1,"$5,500.00",, 30 Apr 2021,23.2676299,,$236.38,Completed
Zeme Team,Zeme Team,Community,,2,"$16,500.00",, 26 May 2021,115.231711,,$143.19,Completed
Zeme Team,Zeme Team,Community,,3,"$5,500.00",, 11 Jun 2021,40.6505065,,$135.30,Completed
Zeme Team,Zeme Team,Community,,4,"$16,500.00",, 13 Jul 2021,151.418021,,$108.97,Completed
Zeme Team,Zeme Team,Community,,5,"$11,000.00",, 29 Jul 2021,103.267192,,$106.52,Completed
Zeme Team- returned funds intended for tip creators,Zeme Team,Community,,5a,"-$4,000.00",, 14 Sep 2021,-30.26,,$132.19,Completed
Nighthawk Wallet Design & Development '21,NightHawk,Wallets,NA,1,"$140,492.00",, 3 May 2021,584.89602,,$240.20,Completed
Nighthawk Wallet Design & Development '21,NightHawk,Wallets,,2,"$105,369.00",, 19 Jul 2021,1135.44201,,$92.80,Completed
Nighthawk Wallet Design & Development '21,NightHawk,Wallets,,3,"$105,369.00",,"Oct 4, 2021",906.712187,,$116.21,Completed
A Metamask-style browser extension for Zcash,Zypher,Wallets,NA,1,"$30,100.00",, 11 May 2021,97.3858901,,$309.08,Cancelled
A Metamask-style browser extension for Zcash,Zypher,Wallets,,2,,,,,,,Cancelled
A Metamask-style browser extension for Zcash,Zypher,Wallets,,3,,,,,,,Cancelled
A Metamask-style browser extension for Zcash,Zypher,Wallets,,4,,,,,,,Cancelled
A Metamask-style browser extension for Zcash,Zypher,Wallets,,5,,,,,,,Cancelled
CoinPayments Integration,CoinPayments,Integration,NA,1,"$19,200.00",, 19 May 2021,75.8474572,,$253.14,Cancelled
CoinPayments Integration,CoinPayments,Integration,,2,"$57,600.00",, 12 Aug 2021,416.787465,,$138.20,Cancelled
CoinPayments Integration,CoinPayments,Integration,,3,$0.00,,,,,,Cancelled
CoinPayments Integration,CoinPayments,Integration,,4,$0.00,,,,,,Cancelled
Arti: a pure-Rust Tor implementation for Zcash and beyond,Tor,Research & Development,NA,1,"$181,764.00",, 22 Jun 2021,,"$181,764",,Completed
Arti: a pure-Rust Tor implementation for Zcash and beyond,Tor,Research & Development,,2,"$175,032.00",, 21 Dec 2021,,"$175,032",,Completed
Arti: a pure-Rust Tor implementation for Zcash and beyond,Tor,Research & Development,,3,"$269,280.00",, 16 Sep 2022,,"$269,280",,Completed
Arti: a pure-Rust Tor implementation for Zcash and beyond,Tor,Research & Development,,4,"$47,124.00",, 6 Dec 2022,,"$47,124",,Completed
Trezor support for Zcash shielded transactions,Trezor,Wallets,NA,1,"$10,400.00",, 28 Oct 2021,66.4707634,,$156.46,Cancelled
Trezor support for Zcash shielded transactions,Trezor,Wallets,,2,"$19,500.00",, 6 Dec 2021,113.570381,,$171.70,Cancelled
Trezor support for Zcash shielded transactions,Trezor,Wallets,,3,"$29,900.00",, 5 Jan 2023,748.81,,$39.93,Cancelled
Trezor support for Zcash shielded transactions,Trezor,Wallets,,4,,,,,,,Cancelled
Trezor support for Zcash shielded transactions,Trezor,Wallets,,5,,,,,,,Cancelled
Zcash Short Documentary,Zcash Media,Media,NA,1,"$4,160.28",, 9 Aug 2021,31.6323993,,$131.52,Completed
Zcash Short Documentary,Zcash Media,Media,,2,"$39,522.66",, 8 Oct 2021,314.495784,,$125.67,Completed
Zcash Short Documentary,Zcash Media,Media,,3,"$87,365.88",, 4 Feb 2022,828.505463,,$105.45,Completed
Zcash Short Documentary,Zcash Media,Media,,4,"$27,041.82",, 9 Feb 2022,212.375904,,$127.33,Completed
Zcash Short Documentary,Zcash Media,Media,,5,"$24,961.68",, 21 Feb 2022,248.301006,,$100.53,Completed
Zcash Short Documentary,Zcash Media,Media,,6,"$24,961.68",, 22 Apr 2022,158.075559,,$157.91,Completed
Shielded Dialogues,Foresight Institute,Media,Milestone,1,"$17,500.00",, 21 Oct 2022,333.779,,$52.43,Cancelled
Shielded Dialogues,Foresight Institute,Media,,2,"$17,500.00",, 6 Jul 2023,563.61,,$31.05,Cancelled
Shielded Dialogues,Foresight Institute,Media,,3,,,,,,,Cancelled
Shielded Dialogues,Foresight Institute,Media,,4,,,,,,,Cancelled
Payment Gateway with BTCPay,Hanh,Integration,NA,1,"$30,000.00",, 17 Jan 2022,221.64778,,$135.35,Completed
Payment Gateway with BTCPay,Hanh,Integration,,2,"$90,000.00",, 8 Feb 2022,720.980734,,$124.83,Completed
Elemental ZEC – Zcash UI Component Kit and Payment Processor,Elemental ZEC,Non-Wallet Applications,NA,1,"$10,228.80",, 9 Dec 2021,59.1946444,,$172.80,Completed
Elemental ZEC – Zcash UI Component Kit and Payment Processor,Elemental ZEC,Non-Wallet Applications,,2,"$8,183.04",, 17 Feb 2022,67.8528363,,$120.60,Completed
Elemental ZEC – Zcash UI Component Kit and Payment Processor,Elemental ZEC,Non-Wallet Applications,,3,"$8,183.04",, 7 Jun 2022,86.7768702,,$94.30,Completed
Elemental ZEC – Zcash UI Component Kit and Payment Processor,Elemental ZEC,Non-Wallet Applications,,4,"$8,183.04",, 21 Oct 2022,156.076,,$52.43,Completed
